reference	pageref	identified_name	identified_authority	identified_status	identified_note	assignment_confidence	morphological_information	accepted_name	lsid_act	formation	member	bed	zone	subzone	stage	series	system	location	country	utm_wgs84	latitude	longitude	comments	lsid_pub	synonym_id
Cortes2021JSP	2	Kyhytysuka sachicarum	Paramo1997RI	ncomb			Y	Kyhytysuka sachicarum		Paja Formation	Arcillolitas Abigarrada Member				latest Barremian	Lower Cretaceous	Cretaceous	El Roble Locality, Villa de Leyva, Boaycá, Colombia	CO		5.665383	-73.538417		urn:lsid:zoobank.org:pub:E3FD55AF-2AD1-46CA-A49C-1FB4B102AB2C	103
Paramo1997RI	2	Platypterygius sachicarum	Paramo1997RI	orig		*	Y	Kyhytysuka sachicarum		Paja Formation	Arcillolitas Abigarrada Member				Barremian–Aptian	Lower Cretaceous	Cretaceous	Loma Pedro Luis, Villa de Leyva, Boyacá, Colombia	CO		5.65427	-73.53025			104
Sander2021S	1	Cymbospondylus youngorum	Sander2021S	orig		*	Y	Cymbospondylus youngorum		Favret Formation	Fossil Hill Member		*Nevadisculites taylori* Ammonoid Biozone		Anisian	Middle Triassic	Triassic	Favret Canyon, Augusta Mountains, Pershing County, Nevada, USA	US						105
BarrientosLara2021JSAES	4	Jabalisaurus metzli	BarrientosLara2021JSAES	orig		*	Y	Jabalisaurus metzli	urn:lsid:zoobank.org:act:EAEBE989-A483-478E-85B0-32995FDC8057	La Casita Formation	coquina layer				upper Kimmeridgian	Upper Jurassic	Jurassic	Sierra El Jabalí, near Gómez Farías, Saltillo, Caohuila, Mexico	MX		24.95246	-100.94193			106
Buchy2010JP	149	*Ophthalmosaurus* cf. *icenicus*	Seeley1874QJGSa	orig			Y	Jabalisaurus metzli		La Casita Formation	coquina layer				upper Kimmeridgian	Upper Jurassic	Jurassic	Sierra El Jabalí, near Gómez Farías, Saltillo, Caohuila, Mexico	MX						107
Frey2014DORMM		*Ophthalmosaurus* cf. *icenicus*	Seeley1874QJGSa	orig			N	Jabalisaurus metzli										Sierra El Jabalí, near Gómez Farías, Saltillo, Caohuila, Mexico	MX						108
BarrientosLara2021A	2	Parrassaurus yacahuitztli	BarrientosLara2021A	orig		*	Y	Parrassaurus yacahuitztli	urn:lsid:zoobank.org:act:EACD70CD-6B63-4485-9C27-23EFDC64D165	La Caja Formation					upper Tithonian	Upper Jurassic	Jurassic	Rancho el Sombrero, Sierra de Parras, Saltillo Municipality, Coahuila, Mexico	MX		25.138611	-101.482778		urn:lsid:zoobank.org:pub:3C6D6D2B-6F30-4DF3AEB4-FD2B-C61B3CF7	109
Fernandez2021JVP	2	Catutosaurus gaspariniae	Fernandez2021JVP	orig		*	Y	Catutosaurus gaspariniae	urn:lsid:zoobank.org:act:BC3E93E7-C574-4B50-9315-2CDAD067C721	Vaca Muerta Formation	Los Catutos Member		*Aulasphinctes proximus*–*Windhauseniceras internispinosum* ammonoid biozones		upper middle–lower upper Tithonian	Upper Jurassic	Jurassic	El Ministerio Quarry, Los Catutos, Zapala Department, Neuquén Province, Argentina	AR		-38.80829	-70.18219		urn:lsid:zoobank.org:pub:FDB6C301-BAE5-4212-9310-BE09E24605F9 SUPPLEMENTAL DATA—Supplemental materials are available for this article for free at w	110
Gasparini1988A	3	Ophthalmosaurus monocharactus	Appleby1956PZSL	orig			Y	Catutosaurus gaspariniae		Vaca Muerta Formation															111
Maisch2000SBNBGP	87	*Aegirosaurus* sp.	Bardet2000JP	orig			N	Catutosaurus gaspariniae																	112
