reference	pageref	identified_name	identified_authority	identified_status	identified_note	assignment_confidence	morphological_information	accepted_name	lsid_act	formation	member	bed	zone	subzone	stage	series	system	location	country	utm_wgs84	latitude	longitude	comments	lsid_pub	synonym_id
Efimov1999PZ	98	Yasykovia kabanovi	Efimov1999PZ	orig			Y	Nannopterygius saveljeviensis																	20
Efimov1999PZ	98	Yasykovia sumini	Efimov1999PZ	orig		*	Y	Nannopterygius yasykovi																	21
Efimov1999PZa	52	Undorosaurus gorodischensis	Efimov1999PZa	orig		*	Y	Undorosaurus gorodischensis					*Epivirgatites nikitini* Ammonite Biozone		Volgian	Upper Jurassic	Jurassic	Undory, Volga Oblast, Russia	RU						22
Fernandez1997JP	480	Caypullisaurus bonapartei	Fernandez1997JP	orig		*	Y	Caypullisaurus bonapartei	urn:lsid:zoobank.org:act:046EED7E-C624-465F-B0D4-1BB782CCD97D	Vaca Muerta Formation			*Virgatosphinctes mendozanus* Ammonite Biozone		late Tithonian	Upper Jurassic	Jurassic	Cerro Lotena, Neuquén Province, northwest patagonia, Argentina	AR	19H 442358 5661434	-39.194444	-69.6675		urn:lsid:zoobank.org:pub:1A5DDCD0-1713-410A-AE1B-F02EA1F1DF77	23
Fischer2016P	8	Pervushovisaurus campylodon	Carter1846RBAAS	ncomb			Y	Pervushovisaurus campylodon																	24
Hulke1871QJGS	441	Ichthyosaurus enthekiodon	Hulke1871QJGS	orig		v *	Y	Nannopterygius enthekiodon	urn:lsid:zoobank.org:act:8467F95F-AC53-4EA7-9612-230E9222A6FC	Kimmeridge Clay Formation					Kimmeridgian–Tithonian	Upper Jurassic	Jurassic	Kimmeridge Bay, Dorset, U.K.	GB					urn:lsid:zoobank.org:pub:4F0E90D0-27FF-409A-9CD5-976F182B8B4C	25
Jiang2006JVP	62	Mixosaurus panxianensis	Jiang2006JVP	orig		*	Y	Barracudasauroides panxianensis	urn:lsid:zoobank.org:act:05C7C635-6E53-4070-8856-047553A6B0BF	Guanling Formation	Upper Member		*Nicoraella germanicus* Conodont Biozone		Pelsonian, Anisian	Middle Triassic	Triassic	Yangjuan Village, Xinmin District, Panxian County, Guizhou Province, China	CN					urn:lsid:zoobank.org:pub:A3ED6813-7AA8-47CA-8197-04CA562417DF	26
Kuhn1934a	27	Californosaurus perrini	Merriam1902UCBDG	ncomb			N	Californosaurus perrini															[*non Delphinosaurus* @Eichwald1853BSinM]		27
Lomax2016JSP	388	Wahlisaurus massarae	Lomax2016JSP	orig		*	Y	Wahlisaurus massarae		Scunthorpe Mudstone Formation?	Barnstone Member?		Pre-*planorbis* or *Psiloceras planorbis* beds		lowermost Hettangian	Lower Jurassic	Jurassic	Normanton Hills near Normanton on Soar, Nottinghamshire, U.K.	GB						28
Maisch2000SBNBGP	79	Brachypterygius psudoscythius	Efimov1998PZ	ncomb	[*sic.*]		N	Brachypterygius pseudoscythica																	29
Maisch2000SBNBGP	69	Callawayia neoscapularis	McGowan1994JVPa	ncomb			N	Callawayia neoscapularis															New combination takes priority over *Metashastasaurus* [@Nicholls2001CJES, p. 1001].		30
Maisch2010P	161	Barracudasauroides panxianensis	Maisch2010P	ncomb			N	Barracudasauroides panxianensis																	31
Maisch2010P	167	Brachypterygius alekseevi	Arkhangelsky2001PJ	ncomb			N	Brachypterygius alekseevi																	32
Maxwell2016PP	61	Muiscasaurus catheti	Maxwell2016PP	orig		*	Y	Muiscasaurus catheti		Paja Formation	Arcillolitas abigarradas Member				Barremian–Aptian	Lower Cretaceous	Cretaceous	Vereda Llanitos, Sachica, Boyaca, Colombia	CO	18N 662860 616018	5.5713	-73.529683			33
McGowan1972CGUW	17	Platypterygius campylodon	Carter1846RBAAS	ncomb			Y	Pervushovisaurus campylodon																	34
McGowan1972CGUW	17	Platypterygius americanus	Nace1939AJS	ncomb			Y	Platypterygius americanus																	35
McGowan1976CJES	671	Grendelius mordax	McGowan1976CJES	orig		v *	Y	Brachypterygius extremus		Kimmeridge Clay Formation			*Aulacostephanus autissiodorensis* Ammonite Biozone		middle Kimmeridgian	Upper Jurassic	Jurassic	Stowbridge, Norfolk, U.K.	GB	31U 321960 5835045					36
