accepted_name	accepted_authority	accepted_status	lsid_act	clade	species_id
Nannopterygius yasykovi	Efimov1999PZ	ncomb		Ichthyosauriformes	63
Ophthalmosaurus icenicus	Seeley1874QJGSa	orig	urn:lsid:zoobank.org:act:F598EAB9-08BF-44CF-BBF3-BB940BD24DBE	Ichthyosauriformes	64
Ophthalmosaurus natans	Marsh1879AMNH	ncomb		Ichthyosauriformes	65
Parvinatator wapitiensis	Nicholls1995Vfateosc	orig		Ichthyosauriformes	66
Pervushovisaurus bannovkensis	Arkhangelsky1998PJ	orig		Ichthyosauriformes	67
Pervushovisaurus campylodon	Carter1846RBAAS	ncomb		Ichthyosauriformes	68
Pessopteryx nisseri	Wiman1910BGIUa	orig		Ichthyosauriformes	69
Phalarodon callawayi	Schmitz2004PAP	orig		Ichthyosauriformes	70
Phalarodon fraasi	Merriam1910UCBDG	orig		Ichthyosauriformes	71
Phalarodon major	vonHuene1916P	orig		Ichthyosauriformes	72
Phantomosaurus neubigi	Sander1997AMR	ncomb		Ichthyosauriformes	73
Platypterygius  hercynicus	Kuhn1946BNGBb	orig		Ichthyosauriformes	74
Platypterygius americanus	Nace1939AJS	orig		Ichthyosauriformes	75
Platypterygius australis	MCoy1867AMNH	ncomb		Ichthyosauriformes	76
Platypterygius hauthali	vonHuene1927ZFMGPB	ncomb		Ichthyosauriformes	77
Platypterygius ochevi	Arkhangelsky2008PJ	orig		Ichthyosauriformes	78
Platypterygius platydactylus	Broili1907P	ncomb		Ichthyosauriformes	79
Platypterygius sachicarum	Paramo1997RI	orig		Ichthyosauriformes	80
Protoichthyosaurus applebyi	Lomax2017JVP	orig		Ichthyosauriformes	81
Protoichthyosaurus prostaxalis	Appleby1979P	orig		Ichthyosauriformes	82
Qianichthyosaurus xingyiensis	Yang2013ASNUP	orig		Ichthyosauriformes	83
Qianichthyosaurus zhoui	Li1999CSB	orig		Ichthyosauriformes	84
Quasianosteosaurus vikinghoegdai	Maisch2003NJGPAa	orig		Ichthyosauriformes	85
Sclerocormus parviceps	Jiang2016SR	orig		Ichthyosauriformes	86
Shastasaurus alexandrae	Merriam1902UCBDG	orig		Ichthyosauriformes	87
Shastasaurus liangae	Yin2000GG	ncomb		Ichthyosauriformes	88
Shastasaurus pacificus	Merriam1895AJS	orig		Ichthyosauriformes	89
Shastasaurus sikkaniensis	Nicholls2004JVP	ncomb		Ichthyosauriformes	90
Shonisaurus popularis	Camp1976SOeAW	orig		Ichthyosauriformes	91
Simbirskiasaurus birjukovi	Otschev1985PZ	orig		Ichthyosauriformes	92
Sisteronia seeleyi	Fischer2014PO	orig		Ichthyosauriformes	93
Stenopterygius aaleniensis	Maxwell2012PO	orig		Ichthyosauriformes	94
Stenopterygius quadriscissus	Quenstedt1858	ncomb		Ichthyosauriformes	95
Stenopterygius triscissus	Quenstedt1858	ncomb		Ichthyosauriformes	96
Stenopterygius uniter	vonHuene1931ASNG	orig		Ichthyosauriformes	97
Suevoleviathan disinteger	vonHuene1926NJFMGPBBB	ncomb		Ichthyosauriformes	98
Suevoleviathan integer	Bronn1844NJMGGP	ncomb		Ichthyosauriformes	99
Sveltonectes insolitus	Fischer2011JVP	orig		Ichthyosauriformes	100
Temnodontosaurus azerguensis	Martin2012P	orig		Ichthyosauriformes	101
Temnodontosaurus crassimanus	Blake1876	ncomb		Ichthyosauriformes	102
Temnodontosaurus eurycephalus	McGowan1974LSCROM	orig		Ichthyosauriformes	103
Temnodontosaurus nuertingensis	vonHuene1931NJFMGPBB	ncomb		Ichthyosauriformes	104
Temnodontosaurus platyodon	Conybeare1822TGSL	ncomb		Ichthyosauriformes	105
Temnodontosaurus trigonodon	Theodori1843GAKAWMC	ncomb		Ichthyosauriformes	106
Thaisaurus chonglakmanii	Mazin1991CRASS2MPCSUST	orig		Ichthyosauriformes	107
Thalassodraco etchesi	Jacobs2020PO	orig	urn:lsid:zoobank.org:act:35626449-D5AC-4970-B76E-27A827126D23	Ichthyosauriformes	108
Thalattoarchon saurophagis	Frobisch2013PNAS	orig		Ichthyosauriformes	109
Tholodus schmidi	Meyer1849P	orig		Ichthyosauriformes	110
Toretocnemus californicus	Merriam1903UCBDG	orig		Ichthyosauriformes	111
Toretocnemus zitteli	Merriam1903UCBDG	ncomb		Ichthyosauriformes	112
Undorosaurus gorodischensis	Efimov1999PZa	orig		Ichthyosauriformes	113
Undorosaurus kielanae	Tyborowski2016APP	ncomb		Ichthyosauriformes	114
Undorosaurus nessovi	Efimov1999PZa	orig		Ichthyosauriformes	115
Undorosaurus trautscholdi	Arkhangelsky2014PZIR	orig		Ichthyosauriformes	116
Utatsusaurus hataii	Shikama1978SRTUG	orig		Ichthyosauriformes	117
Wahlisaurus massarae	Lomax2016JSP	orig		Ichthyosauriformes	118
Wimanius odontopalatus	Maisch1998NJGPM	orig		Ichthyosauriformes	119
Xinminosaurus catactes	Jiang2008PNS	orig		Ichthyosauriformes	120
Eohupehsuchus brevicollis	Chen2014POa	orig	urn:lsid:zoobank.org:act:94F905DD-8995-4477-841A-85DEDA8C8287	Hupehsuchia	121
Eretmorhipis carrolldongi	Chen2015PO	orig	urn:lsid:zoobank.org:act:317DA1DF-4381-43F5-90CE-ADFD680F7178	Hupehsuchia	122
Hupehsuchus nanchangensis	Young1972MNIGP	orig	urn:lsid:zoobank.org:act:416BF673-273A-4F3D-99B3-F369DBEC6CEA	Hupehsuchia	123
Nanchangosaurus suni	Wang1959APS	orig		Hupehsuchia	124
Parahupehsuchus longus	Chen2014PO	orig	urn:lsid:zoobank.org:act:0B2F1D4D-0435-496F-B1C0-6913F265240F	Hupehsuchia	125
